Occurrence ID,Scientific name,Common name,Date,Date day,Date month,Date year,OSGR,Latitude,Longitude,Coordinate uncertainty (m),Individual count,Life stage,Country,OSG 10m,OSG 100m,OSG 1km,OSG 10km,OSG 100km
12352,Phoca vitulina,Harbour Seal,2019-03-21,21,3,2019,NM8878243723,56.53789902,-5.436816215,220.0,1.0,Adult,Scotland,NM88784372,NM887437,NM8843,NM84,NM
484,Phocoena phocoena,Common Porpoise,2004-03-03,3,3,2004,NM5100761196,56.676,-6.066383,70.1,4.0,Adult,Scotland,NM51006119,NM510611,NM5161,NM56,NM
12355,Phocoena phocoena,Common Porpoise,2019-03-21,21,3,2019,NM8322545094,56.54766464,-5.528132915,900.0,1.0,Adult,Scotland,NM83224509,NM832450,NM8345,NM84,NM
490,Halichoerus grypus,Grey Seal,2004-03-05,5,3,2004,NM0618845029,56.50528,-6.777033,70.1,1.0,Adult,Scotland,NM06184502,NM061450,NM0645,NM04,NM
13293,Phocoena phocoena,Common Porpoise,2020-03-14,14,3,2020,NM6465459401,56.66698,-5.842534,30.0,1.0,Adult,Scotland,NM64655940,NM646594,NM6459,NM65,NM
6044,Phocoena phocoena,Common Porpoise,2012-03-31,31,3,2012,NM4577675285,56.79942,-6.165483,70.1,1.0,Adult,Scotland,NM45777528,NM457752,NM4575,NM47,NM
12348,Phocoena phocoena,Common Porpoise,2019-03-19,19,3,2019,NM4426159517,56.6573143,-6.174516677,50.0,1.0,Adult,Scotland,NM44265951,NM442595,NM4459,NM45,NM
12353,Phoca vitulina,Harbour Seal,2019-03-21,21,3,2019,NM9040746472,56.56328201,-5.412649631,500.0,1.0,Adult,Scotland,NM90404647,NM904464,NM9046,NM94,NM
6041,Halichoerus grypus,Grey Seal,2012-03-29,29,3,2012,NM4527459827,56.66065,-6.15835,70.1,1.0,Adult,Scotland,NM45275982,NM452598,NM4559,NM45,NM
6045,Phocoena phocoena,Common Porpoise,2012-03-31,31,3,2012,NM4442574093,56.788,-6.186367,70.1,1.0,Adult,Scotland,NM44427409,NM444740,NM4474,NM47,NM
6042,Halichoerus grypus,Grey Seal,2012-03-29,29,3,2012,NM0555044900,56.50372,-6.787216,70.1,1.0,Adult,Scotland,NM05554490,NM055449,NM0544,NM04,NM
491,Phoca vitulina,Harbour Seal,2004-03-05,5,3,2004,NM1149668349,56.71735,-6.717116,70.1,2.0,Adult,Scotland,NM11496834,NM114683,NM1168,NM16,NM
492,Halichoerus grypus,Grey Seal,2004-03-06,6,3,2004,NM2871456694,56.62328,-6.4244,70.1,1.0,Adult,Scotland,NM28715669,NM287566,NM2856,NM25,NM
12354,Phocoena phocoena,Common Porpoise,2019-03-21,21,3,2019,NM8372545690,56.55324554,-5.520516872,280.0,1.0,Adult,Scotland,NM83724569,NM837456,NM8345,NM84,NM
483,Phocoena phocoena,Common Porpoise,2004-03-03,3,3,2004,NM4971061323,56.67645,-6.087617,70.1,2.0,Adult,Scotland,NM49716132,NM497613,NM4961,NM46,NM
13297,Phoca vitulina,Harbour Seal,2020-03-15,15,3,2020,NM5700259762,56.6663,-5.967433,150.0,1.0,Adult,Scotland,NM57005976,NM570597,NM5759,NM55,NM
6043,Halichoerus grypus,Grey Seal,2012-03-30,30,3,2012,NG3146202212,57.03257,-6.427683,70.1,1.0,Adult,Scotland,NG31460221,NG314022,NG3102,NG30,NG
13278,Phocoena phocoena,Common Porpoise,2020-01-09,9,1,2020,NM7546729727,56.40625,-5.640833,180.0,1.0,Adult,Scotland,NM75462972,NM754297,NM7529,NM72,NM
12323,Phocoena phocoena,Common Porpoise,2019-01-31,31,1,2019,NM2931669899,56.7419014,-6.428500175,30.0,1.0,Adult,Scotland,NM29316989,NM293698,NM2969,NM26,NM
12315,Phoca vitulina,Harbour Seal,2019-01-25,25,1,2019,NM7248138722,56.485466,-5.696950435,30.0,1.0,Adult,Scotland,NM72483872,NM724387,NM7238,NM73,NM
12324,Phocoena phocoena,Common Porpoise,2019-01-31,31,1,2019,NM3827664558,56.69916916,-6.27699995,30.0,1.0,Adult,Scotland,NM38276455,NM382645,NM3864,NM36,NM
13282,Phoca vitulina,Harbour Seal,2020-01-09,9,1,2020,NR6489284884,55.9991,-5.7721,30.0,1.0,Adult,Scotland,NR64898488,NR648848,NR6484,NR68,NR
12321,Phocoena phocoena,Common Porpoise,2019-01-31,31,1,2019,NM2893856777,56.62415314,-6.4208498,200.0,1.0,Adult,Scotland,NM28935677,NM289567,NM2856,NM25,NM
13279,Phoca vitulina,Harbour Seal,2020-01-09,9,1,2020,NM7270307018,56.20132,-5.665949,180.0,1.0,Adult,Scotland,NM72700701,NM727070,NM7207,NM70,NM
12320,Halichoerus grypus,Grey Seal,2019-01-30,30,1,2019,NM3213750632,56.57094574,-6.36250019,90.0,1.0,Adult,Scotland,NM32135063,NM321506,NM3250,NM35,NM
13280,Phocoena phocoena,Common Porpoise,2020-01-09,9,1,2020,NM7304705681,56.1895,-5.659284,300.0,1.0,Adult,Scotland,NM73040568,NM730056,NM7305,NM70,NM
13283,Phoca vitulina,Harbour Seal,2020-01-10,10,1,2020,NR6095871196,55.87445,-5.8229,120.0,1.0,Adult,Scotland,NR60957119,NR609711,NR6071,NR67,NR
12322,Phocoena phocoena,Common Porpoise,2019-01-31,31,1,2019,NM2957267505,56.72061539,-6.421816825,20.0,1.0,Adult,Scotland,NM29576750,NM295675,NM2967,NM26,NM
13281,Phoca vitulina,Harbour Seal,2020-01-09,9,1,2020,NR7001192074,56.06605,-5.69635,110.0,1.0,Adult,Scotland,NR70019207,NR700920,NR7092,NR79,NR
505,Halichoerus grypus,Grey Seal,2004-04-11,11,4,2004,NR0013798160,56.08189,-6.82175,70.1,1.0,Adult,Scotland,NR00139816,NR001981,NR0098,NR09,NR
11493,Halichoerus grypus,Grey Seal,2018-04-30,30,4,2018,NM3270073597,56.77698517,-6.377200126,300.0,1.0,Adult,Scotland,NM32707359,NM327735,NM3273,NM37,NM
3711,Phocoena phocoena,Common Porpoise,2009-04-25,25,4,2009,NM5882360351,56.67252,-5.93835,70.1,1.0,Adult,Scotland,NM58826035,NM588603,NM5860,NM56,NM
13777,Delphinus delphis,Common Dolphin,2021-04-25,25,4,2021,NG2308903307,57.03742,-6.5664,250.0,1.0,Adult,Scotland,NG23080330,NG230033,NG2303,NG20,NG
2770,Phoca vitulina,Harbour Seal,2008-04-08,8,4,2008,NM7278162321,56.69717,-5.7128,70.1,1.0,Adult,Scotland,NM72786232,NM727623,NM7262,NM76,NM
5372,Halichoerus grypus,Grey Seal,2011-04-28,28,4,2011,NF6192764189,57.54098,-7.65275,70.1,1.0,Adult,Scotland,NF61926418,NF619641,NF6164,NF66,NF
2774,Phoca vitulina,Harbour Seal,2008-04-08,8,4,2008,NM7184663223,56.7048,-5.728833,70.1,1.0,Adult,Scotland,NM71846322,NM718632,NM7163,NM76,NM
10527,Phocoena phocoena,Common Porpoise,2017-04-03,3,4,2017,NG8058835689,57.35867,-5.649567,70.1,1.0,Adult,Scotland,NG80583568,NG805356,NG8035,NG83,NG
13793,Delphinus delphis,Common Dolphin,2021-04-29,29,4,2021,NM0487670419,56.73175,-6.827266,40.0,1.0,Adult,Scotland,NM04877041,NM048704,NM0470,NM07,NM
13,Halichoerus grypus,Grey Seal,2003-04-12,12,4,2003,NM2908613457,56.2362,-6.373583,70.1,1.0,Adult,Scotland,NM29081345,NM290134,NM2913,NM21,NM
10531,Phoca vitulina,Harbour Seal,2017-04-03,3,4,2017,NG8887836700,57.37165,-5.5129,70.1,1.0,Adult,Scotland,NG88873670,NG888367,NG8836,NG83,NG
2800,Phoca vitulina,Harbour Seal,2008-04-09,9,4,2008,NM3377664276,56.6941,-6.349967,70.1,1.0,Adult,Scotland,NM33776427,NM337642,NM3364,NM36,NM
8,Phocoena phocoena,Common Porpoise,2003-04-09,9,4,2003,NR2880833648,55.52102,-6.298167,70.1,2.0,Adult,Scotland,NR28803364,NR288336,NR2833,NR23,NR
13796,Delphinus delphis,Common Dolphin,2021-04-30,30,4,2021,NM2556350930,56.56982,-6.469483,180.0,1.0,Adult,Scotland,NM25565093,NM255509,NM2550,NM25,NM
4615,Phoca vitulina,Harbour Seal,2010-04-09,9,4,2010,NM4598894159,56.96864,-6.1809,70.1,2.0,Adult,Scotland,NM45989415,NM459941,NM4594,NM49,NM
1905,Phocoena phocoena,Common Porpoise,2007-04-14,14,4,2007,NM5371760344,56.6698,-6.02145,70.1,1.0,Adult,Scotland,NM53716034,NM537603,NM5360,NM56,NM
4627,Phocoena phocoena,Common Porpoise,2010-04-12,12,4,2010,NG3531305772,57.06668,-6.368167,70.1,1.0,Adult,Scotland,NG35310577,NG353057,NG3505,NG30,NG
2822,Phocoena phocoena,Common Porpoise,2008-04-12,12,4,2008,NM4613460646,56.66845,-6.14515,70.1,2.0,Adult,Scotland,NM46136064,NM461606,NM4660,NM46,NM
3684,Phocoena phocoena,Common Porpoise,2009-04-14,14,4,2009,NM3342238889,56.46648,-6.329616,70.1,1.0,Adult|Juvenile,Scotland,NM33423888,NM334388,NM3338,NM33,NM
10540,Delphinus delphis,Common Dolphin,2017-04-05,5,4,2017,NG7193711212,57.13503,-5.770549,70.1,8.0,Adult,Scotland,NG71931121,NG719112,NG7111,NG71,NG
2758,Phoca vitulina,Harbour Seal,2008-04-07,7,4,2008,NM6239460061,56.67175,-5.879934,70.1,1.0,Adult,Scotland,NM62396006,NM623600,NM6260,NM66,NM
12363,Phoca vitulina,Harbour Seal,2019-04-02,2,4,2019,NM4631775582,56.80238342,-6.156949996,250.0,1.0,Adult,Scotland,NM46317558,NM463755,NM4675,NM47,NM
3699,Phoca vitulina,Harbour Seal,2009-04-15,15,4,2009,NM6054385336,56.89733,-5.933751,70.1,1.0,Adult,Scotland,NM60548533,NM605853,NM6085,NM68,NM
4641,Phocoena phocoena,Common Porpoise,2010-04-14,14,4,2010,NF8483412656,57.09653,-7.205984,70.1,3.0,Adult,Scotland,NF84831265,NF848126,NF8412,NF81,NF
2791,Phoca vitulina,Harbour Seal,2008-04-08,8,4,2008,NM5540060423,56.67139,-5.994133,70.1,1.0,Adult,Scotland,NM55406042,NM554604,NM5560,NM56,NM
5344,Halichoerus grypus,Grey Seal,2011-04-08,8,4,2011,NM4077768600,56.73678,-6.24035,70.1,1.0,Adult,Scotland,NM40776860,NM407686,NM4068,NM46,NM
6050,Phoca vitulina,Harbour Seal,2012-04-04,4,4,2012,NM4562460709,56.66874,-6.153517,70.1,1.0,Adult,Scotland,NM45626070,NM456607,NM4560,NM46,NM
4596,Phoca vitulina,Harbour Seal,2010-04-06,6,4,2010,NM5764759936,56.6682,-5.9571,70.1,1.0,Adult,Scotland,NM57645993,NM576599,NM5759,NM55,NM
10538,Phocoena phocoena,Common Porpoise,2017-04-04,4,4,2017,NG7813718121,57.2,-5.674483,70.1,1.0,Adult,Scotland,NG78131812,NG781181,NG7818,NG71,NG
498,Phocoena phocoena,Common Porpoise,2004-04-10,10,4,2004,NM5973019295,56.305,-5.885717,70.1,1.0,Adult,Scotland,NM59731929,NM597192,NM5919,NM51,NM
4600,Phoca vitulina,Harbour Seal,2010-04-06,6,4,2010,NM6740060912,56.6819,-5.799201,70.1,1.0,Adult,Scotland,NM67406091,NM674609,NM6760,NM66,NM
5382,Grampus griseus,Risso's Dolphin,2011-04-30,30,4,2011,NB1573141740,58.27209,-6.850167,70.1,9.0,Adult|Juvenile,Scotland,NB15734174,NB157417,NB1541,NB14,NB
4650,Phoca vitulina,Harbour Seal,2010-04-16,16,4,2010,NM2995593082,56.94992,-6.442667,70.1,1.0,Adult,Scotland,NM29959308,NM299930,NM2993,NM29,NM
10526,Phocoena phocoena,Common Porpoise,2017-04-03,3,4,2017,NG8037735622,57.35797,-5.653,70.1,6.0,Adult,Scotland,NG80373562,NG803356,NG8035,NG83,NG
